"No","Name_EN","Name_KO","Origin_EN","Origin_KO","Size_EN","Size_KO","Lifespan_EN","Lifespan_KO","Weight","description_EN","description_KO"
"11","German Shepherd","저먼 셰퍼드","Germany","독일","Large","대형","9~13 years","9~13 년","22~40kg","This medium-large breed was developed in late 19th-century Germany for herding and working. It has a muscular build, sleek appearance, and a double coat typically in black and tan. It stands 55–65 cm tall and weighs 22–40 kg. Known for intelligence, loyalty, and trainability, it serves in many roles including police, military, guide, and rescue work. German Shepherds are affectionate with family and cautious with strangers but can be well-behaved pets with proper socialization. They need plenty of exercise and mental stimulation to prevent destructive behavior. Health concerns include hip dysplasia, degenerative myelopathy, and bloat. Regular grooming is needed due to shedding. They suit active families and are admired worldwide for their versatility and bravery.","저먼 셰퍼드는 독일에서 19세기 말 목양견과 작업견으로 개발된 중대형 견종입니다. 근육질의 체형과 날렵한 외모, 검은색과 황갈색이 섞인 이중모가 특징이며, 체고는 55~65cm, 체중은 22~40kg 정도입니다. 이 견종은 지능, 충성심, 훈련성이 매우 높아 경찰견, 군견, 안내견, 구조견 등 다양한 분야에서 활약하고 있습니다. 가족에 대한 애착이 강하고, 낯선 사람에게는 경계심이 있지만 올바른 사회화와 훈련을 받으면 온순하고 믿음직한 반려견이 됩니다. 에너지가 많아 충분한 운동과 정신적 자극이 필요하며, 지루함을 느끼면 파괴적인 행동을 보일 수 있습니다. 저먼 셰퍼드는 고관절 이형성증, 퇴행성 척수병증, 위확장염전 등 유전 질환에 주의해야 하며, 정기적인 건강 검진과 적절한 관리가 필요합니다. 털 빠짐이 많아 주기적인 빗질이 요구되며, 활동적인 가족에게 잘 어울립니다. 전 세계적으로 인기 있는 다재다능한 견종으로, 충성심과 용감함, 뛰어난 학습 능력 덕분에 다양한 임무에서 신뢰받고 있습니다."
"12","Golden Retriever","골든 리트리버","Scotland, UK","영국 스코틀랜드","Large","대형","10~13 years","10~13 년","25~34kg","The Golden Retriever is a medium-sized dog breed developed in 19th century Scotland for retrieving game. It is characterized by its soft, shiny golden coat, gentle and friendly temperament, and high intelligence, with a height of 51–61 cm and a weight of 25–34 kg. Golden Retrievers have a strong bond with family, get along well with children, and excel in various roles such as guide dogs, rescue dogs, and therapy dogs. They require plenty of exercise due to their high energy levels and need regular grooming because they shed a lot. Their positive and sociable nature makes them beloved pets worldwide, and they tend to approach strangers in a friendly manner. Care should be taken regarding genetic disorders like hip dysplasia, heart diseases, and cancer, so a balanced diet and regular health check-ups are important for their well-being. They are cheerful and loyal, forming deep connections with their families and adapting well to various environments.","골든 리트리버는 19세기 스코틀랜드에서 사냥감을 회수하는 용도로 개량된 중형견입니다. 부드럽고 윤기나는 황금빛 털, 온화하고 친근한 성격, 높은 지능이 특징이며, 체고는 51~61cm, 체중은 25~34kg 정도입니다. 가족과의 유대감이 강하고, 아이들과도 잘 어울리며, 안내견, 구조견, 치료견 등 다양한 분야에서 활약합니다. 골든 리트리버는 활동량이 많아 충분한 운동이 필요하고, 털 빠짐이 많아 정기적인 관리가 필요합니다. 긍정적이고 사교적인 성격 덕분에 전 세계적으로 사랑받는 반려견이며, 낯선 사람에게도 친근하게 다가가는 경향이 있습니다. 고관절 이형성증, 심장 질환, 암 등 유전 질환에 주의해야 하며, 건강을 위해 균형 잡힌 식단과 정기적인 건강 검진이 중요합니다. 명랑하고 충성심이 강해 가족과의 유대가 깊고, 다양한 환경에 잘 적응하는 견종입니다."
"13","Italian Greyhound","이탈리안 그레이하운드","Italy","이탈리아","Small","소형","13~15 years","13~15 년","3.6~8kg","The Italian Greyhound is a small sighthound that originated in Italy, characterized by its slender and elegant build and short, soft coat. They weigh about 3.6–5 kg and stand 32–38 cm tall, making them small and lightweight. They are incredibly agile and fast, having been loved by nobility since ancient Roman times. They are gentle, affectionate, and have a strong bond with their families. Sensitive to cold, they are best suited for indoor living and require ample exercise through walks. Italian Greyhounds are intelligent and respond well to training, although they can be somewhat sensitive, necessitating a gentle approach. Generally healthy, they have slender bones, so care should be taken to avoid fractures, and dental care is also essential. Their elegant appearance and friendly nature make them popular, and they adapt well to apartment living, enjoying a quiet indoor environment. They come in various coat colors and are sociable, getting along well with other animals.","이탈리안 그레이하운드는 이탈리아에서 기원한 소형 사이트하운드로, 날씬하고 우아한 체형, 짧고 부드러운 털이 특징입니다. 체중은 3.6~5kg, 키는 32~38cm 정도로 작고 가볍습니다. 매우 민첩하고 빠르며, 고대 로마 시대부터 귀족들의 반려견으로 사랑받았습니다. 온순하고 애정이 많으며, 가족과의 유대감이 강합니다. 추위에 약해 실내 생활이 적합하고, 운동량이 많아 산책이 필요합니다. 이탈리안 그레이하운드는 지능이 높고, 훈련에 잘 반응하지만 다소 예민한 면이 있어 부드러운 접근이 필요합니다. 건강한 편이지만, 뼈가 가늘어 골절에 주의해야 하며, 치아 관리도 중요합니다. 우아한 외모와 친근한 성격으로 인기가 높으며, 실내에서 조용히 지내는 것을 좋아해 아파트 생활에도 잘 적응합니다. 다양한 색상의 털을 가지고 있으며, 사회성이 좋아 다른 동물과도 잘 어울립니다."
"14","Jindo Dog","진돗개","Jindo, South Korea","대한민국 전라남도 진도","Medium","중형","12~15 years","12~15 년","15~23kg","The Jindo is a native breed from Jindo Island in South Korea, characterized by loyalty, bravery, and exceptional intelligence. This medium-sized dog has a balanced build, straight tail, triangular ears, and various coat colors (yellow, white, black, brindle, etc.). They have a strong attachment to their family and are wary of strangers, making them suitable as guard dogs. Known for their excellent hunting instincts, they exhibit an independent and proud character. The Jindo is designated as South Korea's Natural Monument No. 53 and is recognized as an excellent breed worldwide. They are trainable, loyal to their owners, and tend to guard their homes well. While generally healthy, they require sufficient exercise and mental stimulation, and socialization training is important. The Jindo has a deep bond with its family and is loved for its independent yet affectionate nature.","진돗개는 대한민국 전라남도 진도에서 유래한 토종견으로, 충성심과 용맹함, 뛰어난 지능이 특징입니다. 중형견으로 체형이 균형 잡혀 있고, 곧은 꼬리와 삼각형 귀, 다양한 털색(황색, 백색, 흑색, 호색 등)을 가집니다. 가족에 대한 애착이 매우 강하고, 낯선 사람에게는 경계심이 높아 경비견으로도 적합합니다. 사냥 본능이 뛰어나며, 독립적이고 자존심이 강한 성격을 보입니다. 진돗개는 대한민국 천연기념물 제53호로 지정되어 있으며, 세계적으로도 우수한 견종으로 인정받고 있습니다. 훈련성이 높고, 주인에게 충실하며, 집을 잘 지키는 경향이 있습니다. 건강한 편이지만, 충분한 운동과 정신적 자극이 필요하며, 사회화 교육이 중요합니다. 진돗개는 가족과의 유대감이 깊고, 독립적이면서도 애정이 많아 반려견으로서 큰 사랑을 받고 있습니다."
"15","Alaskan Malamute","알래스칸 맬러뮤트","Alaska, USA","미국 알래스카","Extra Large","초대형","10~14 years","10~14 년","34~43kg","The Alaskan Malamute is a large dog breed bred by Alaskan natives as a sled dog. They are known for their strong physique, thick double coat, and muscular build, enabling them to withstand harsh cold and tough environments. They weigh about 34–39 kg and stand 58–64 cm tall. Alaskan Malamutes are loyal, have a deep bond with their families, and possess a calm and sociable temperament. They are energetic and require plenty of exercise, with high intelligence that allows for various training. Regular grooming is needed due to their heavy shedding, and care should be taken in hot weather. This breed is loved for its roles as a sled dog, rescue dog, and companion. They have an independent yet friendly nature and get along well with other dogs. For their health, a balanced diet, regular exercise, and health check-ups are essential.","알래스칸 말라뮤트는 알래스카 원주민이 썰매견으로 길러온 대형견입니다. 강인한 체력과 두꺼운 이중모, 근육질의 몸매가 특징이며, 혹독한 추위와 힘든 환경에서도 견딜 수 있습니다. 체중은 34~39kg, 키는 58~64cm 정도입니다. 충성심이 강하고, 가족과의 유대감이 깊으며, 온순하고 사교적인 성격을 가졌습니다. 에너지가 많아 충분한 운동이 필요하고, 지능이 높아 다양한 훈련이 가능합니다. 털 빠짐이 많아 정기적인 관리가 필요하며, 더위에 약하므로 주의해야 합니다. 알래스칸 말라뮤트는 썰매견, 구조견, 반려견 등 다양한 역할로 사랑받는 견종입니다. 독립적이면서도 친근한 성격을 가지고 있으며, 다른 개들과도 잘 어울립니다. 건강을 위해 균형 잡힌 식단과 꾸준한 운동, 정기적인 건강 검진이 필요합니다."
"16","Maltese dog","말티즈","Malta","몰타","Extra Small","초소형","12~15 years","12~15 년","3~4kg","The Maltese is a small dog breed that originated from the island of Malta in the Mediterranean, characterized by its pure white long coat, small size, and gentle, affectionate personality. They weigh about 3–4 kg and stand 20–25 cm tall, making them small and lightweight. Maltese dogs have been adored by nobility for a long time and are lively and cheerful, fitting well with families. They shed little hair, reducing allergy risks, but require regular grooming and maintenance. While generally healthy, they should be monitored for dental diseases and patellar luxation, needing consistent care. Sociable, they get along well with other animals and are suitable for indoor living, making them great for apartments and small spaces. Their beautiful appearance and friendly nature have made them popular pets worldwide, and they have a deep bond with their families, having been loved for a long time.","말티즈는 지중해 몰타섬에서 유래한 소형견으로, 순백의 긴 털과 작은 체구, 온순하고 애교 많은 성격이 특징입니다. 체중은 3~4kg, 키는 20~25cm 정도로 작고 가볍습니다. 귀족들에게 오랜 기간 사랑받았으며, 활발하고 명랑한 성격으로 가족과 잘 어울립니다. 말티즈는 털이 잘 빠지지 않아 알레르기 위험이 적고, 정기적인 미용과 손질이 필요합니다. 건강한 편이지만, 치아 질환, 슬개골탈구 등에 주의해야 하며, 꾸준한 관리가 필요합니다. 사회성이 좋아 다른 동물과도 잘 지내며, 실내 생활에 적합해 아파트 등 좁은 공간에서도 키우기 좋습니다. 아름다운 외모와 친근한 성격 덕분에 전 세계적으로 인기 있는 반려견입니다. 긍정적이고 애정이 많아 가족과의 유대감이 깊으며, 오랜 시간 동안 많은 사람들에게 사랑받아온 견종입니다."
"17","Miniature Schnauzer","미니어처 슈나우저","Germany","독일","Small","소형","12~15 years","12~15 년","5~9kg","The Miniature Schnauzer is a small breed from Germany and is the smallest in the Schnauzer group. They weigh about 6–7 kg and stand 30–36 cm tall, coming in various colors such as salt-and-pepper, black-and-silver, and black. Their long beards and decorative hair on their legs are notable features. Ranked 12th in intelligence by the American Kennel Club, they are clever, lively, and optimistic. They require frequent walks and playtime; otherwise, they may become stressed and aggressive. They have a strong bond with their families and are vigilant, making them excellent companion and guard dogs. Common health issues include diabetes, kidney stones, pancreatitis, heart disease, hypertension, cataracts, and patellar luxation, so health management is essential. They shed little hair, reducing allergy risks, but require regular grooming. Cheerful and loyal, they get along well with children and adapt to various environments thanks to their social nature. Their unique appearance, vibrant personality, and high intelligence make them beloved small dogs worldwide.","미니어처 슈나우저는 독일에서 유래한 소형 견종으로, 슈나우저 계열 중 가장 작은 품종입니다. 체중은 6~7kg, 키는 30~36cm 정도이며, 솔트&페퍼, 블랙&실버, 블랙 등 다양한 털색을 가집니다. 염소처럼 긴 수염과 다리의 장식털이 외모의 포인트입니다. 미국 애견협회 지능지수 12위에 오를 만큼 영리하며, 활발하고 낙천적인 성격을 지녔습니다. 운동량이 많아 자주 산책과 놀이가 필요하며, 그렇지 않으면 스트레스를 받아 사나워질 수 있습니다. 가족과의 유대감이 강하고 경계심이 높아 훌륭한 반려견이자 경비견 역할도 합니다. 주요 질병으로는 당뇨병, 신장결석, 췌장염, 심근경색, 고혈압, 백내장, 슬개골탈구 등이 있어 건강 관리에 신경 써야 합니다. 털이 잘 빠지지 않아 알레르기 위험이 적고, 정기적인 미용과 손질이 필요합니다. 명랑하고 충성심이 강해 어린이와도 잘 어울리며, 사회성이 뛰어나 다양한 환경에 잘 적응합니다. 독특한 외모와 활발한 성격, 높은 지능 덕분에 전 세계적으로 사랑받는 소형견입니다."
"18","Papillon dog","파피용 (개)","France","프랑스","Extra Small","초소형","13~15 years","13~15 년","3.6~4.5kg","The Papillon is a small breed that originated in France and Belgium, with a name meaning ""butterfly"" in French, reflecting its large, flared ears resembling butterfly wings. Popular among European nobility in the 16th century, they often appeared in portraits. In the late 1800s, they were bred in Belgium into upright-eared and drop-eared varieties and were introduced to the UK in 1923. They weigh about 3–4.5 kg and stand 20–28 cm tall. Their coat is soft and fluffy, often a white base mixed with black, fawn, red, or sable. Lively, intelligent, and active, they bond well with their families and approach strangers in a friendly manner. They require regular exercise and enjoy walks and play. High intelligence makes them suitable for various training and dog sports. Early socialization and training are crucial, as they can become stubborn if not properly guided. Generally healthy, they should be monitored for patellar luxation and dental issues. Their beautiful appearance and cheerful personality have made them popular pets worldwide.","파피용은 프랑스와 벨기에에서 유래한 소형 견종으로, 이름은 프랑스어로 ‘나비’를 뜻하며, 크고 펼쳐진 귀가 나비 날개를 닮아 붙여졌습니다. 16세기 유럽 귀족들에게 인기가 많았으며, 초상화에도 자주 등장했습니다. 1800년대 후반 벨기에에서 귀가 쫑긋 선 품종과 늘어진 품종이 개량되었고, 1923년 영국에 소개되어 널리 사육되었습니다. 체중은 3~4.5kg, 키는 20~28cm 정도로 작고 가볍습니다. 털은 부드럽고 풍성하며, 흰색 바탕에 검정, 황갈색, 붉은색, 세이블 등 다양한 색이 섞여 있습니다. 명랑하고 영리하며, 활발한 성격으로 가족과 잘 어울리고, 낯선 사람에게도 친근하게 다가갑니다. 운동량이 많아 산책과 놀이가 필요하며, 지능이 높아 다양한 훈련과 도그 스포츠에 적합합니다. 어릴 때 충분한 사회화와 훈련이 중요하며, 버릇을 잘못 들이면 고집이 생길 수 있습니다. 건강한 편이지만 슬개골탈구, 치아 질환 등에 주의해야 합니다. 아름다운 외모와 쾌활한 성격 덕분에 전 세계적으로 사랑받는 반려견입니다."
"19","Pekingese","페키니즈","China","중국","Small","소형","12~15 years","12~15 년","3.2~6.4kg","The Pekingese is a small breed primarily from China, raised as sacred dogs in the imperial court since the time of Emperor Qin Shi Huang. They were greatly loved by royalty and were so small and cute that emperors would carry them in their sleeves. Commoners were required to bow to them, and stealing one could result in execution. Some Pekingese were introduced to the West by British troops during the Second Opium War. They stand about 20 cm tall and weigh between 3.2–6.2 kg. Their coat is stiff and fluffy, with long decorative hair on the ears and chest. Coat colors vary, including white, silver, gray, and yellow. They enjoy exercise but thrive indoors, having an independent and proud nature. Common health issues include lung cancer, spinal disc disease, skin conditions, and patellar luxation. Their elegant appearance, brave personality, and royal symbolism make them beloved pets worldwide.","페키니즈는 중국이 주요 원산지인 소형 견종으로, 진시황 때부터 궁정에서 신성한 개로 길러졌습니다. 황실에서 큰 사랑을 받았으며, 황제들이 소매에 넣고 다닐 정도로 작고 귀여운 체구를 가졌습니다. 페키니즈를 본 평민은 절을 해야 했고, 훔치면 사형에 처해질 정도로 귀한 존재였습니다. 2차 아편전쟁 때 영국군에 의해 일부가 영국으로 전해지며 서양에 알려졌습니다. 체고는 약 20cm, 몸무게는 3.2~6.2kg 정도입니다. 뻣뻣하고 풍성한 털이 몸 전체를 덮고 있으며, 귀와 가슴에 긴 장식털이 특징입니다. 털색은 흰색, 실버, 그레이, 황색 등 다양합니다. 운동을 좋아하지만 실내에서도 잘 지내며, 독립적이고 자존심이 강한 성격을 가졌습니다. 주요 질병으로는 폐암, 척추디스크, 피부질환, 슬개골탈구 등이 있습니다. 우아한 외모와 용맹한 성격, 황실의 상징성 덕분에 전 세계적으로 사랑받는 반려견입니다."
"20","Pembroke Welsh Corgi","펨브록 웰시 코기","Wales, UK","영국 웨일스","Medium","중형","12~15 years","12~15 년","10~14kg","The Pembroke Welsh Corgi is a small herding dog from Pembrokeshire, Wales, characterized by its short legs, long body, pointed ears, and fox-like face. Males weigh about 12–13 kg, females 11–12 kg, and they stand 25–30 cm tall. They have short, double coats in various colors, including red, brindle, fawn, and black. Tails are usually docked, but some individuals are born with naturally short tails. They possess agile intelligence, strong will, and a lively character, with a strong bond with their families. Retaining their herding instincts, they require ample exercise and mental stimulation. They tend to bark frequently and enjoy spending time with their families. Attention should be paid to obesity, and managing their spinal and joint health is important. Famous as the favorite breed of Queen Elizabeth II, they are popular pets worldwide.","펨브록 웰시 코기는 영국 웨일스 펨브룩셔 지방에서 유래한 소형 목축견으로, 짧은 다리와 긴 몸, 뾰족한 귀, 여우 같은 얼굴이 특징입니다. 체중은 수컷 12~13kg, 암컷 11~12kg, 키는 25~30cm 정도입니다. 이중모로 된 짧은 털을 가졌으며, 붉은색, 흑갈색, 황갈색, 검정 등 다양한 색상이 있습니다. 꼬리는 주로 짧게 잘리지만, 선천적으로 짧은 꼬리를 가진 개체도 있습니다. 민첩한 지능과 강한 의지, 활발한 성격을 지녔으며, 가족과의 유대감이 매우 강합니다. 소몰이견으로서의 본능이 남아 있어 빠른 순발력과 투지를 보이며, 충분한 운동과 정신적 자극이 필요합니다. 짖는 성향이 강하고, 사회성과 관심 욕구가 높아 가족과 함께하는 시간을 좋아합니다. 비만에 주의해야 하며, 척추와 관절 건강 관리가 중요합니다. 영국 왕실의 엘리자베스 2세 여왕이 사랑한 견종으로도 유명하며, 전 세계적으로 인기 있는 반려견입니다."
"21","Pomeranian dog","포메라니안","Germany","독일","Extra Small","초소형","12~16 years","12~16 년","1.4~3.2kg","The Pomeranian is a small Spitz breed that originated in the Pomerania region of Germany and Poland. They weigh about 1.4–3.2 kg and stand 18–22 cm tall, making them very small and lightweight. They have a fluffy, soft double coat, fox-like face, and pointy ears. Coat colors are very diverse, including white, black, orange, cream, and brown. Cheerful and active, they are curious and alert, displaying a brave personality despite their small size. They have a strong bond with their families and may show caution around strangers. Highly intelligent, they can learn various commands but tend to bark loudly. They shed a lot, requiring regular brushing and grooming. Generally healthy, they should be watched for patellar luxation, dental issues, and hypoglycemia. Their cute appearance and lively nature have made them beloved pets worldwide.","포메라니안은 독일과 폴란드의 포메라니아 지역에서 유래한 소형 스피츠견입니다. 체중은 1.4~3.2kg, 키는 18~22cm 정도로 매우 작고 가볍습니다. 풍성하고 부드러운 이중모, 여우 같은 얼굴, 뾰족한 귀가 특징입니다. 털색은 흰색, 검정, 오렌지, 크림, 브라운 등 매우 다양합니다. 명랑하고 활발하며, 호기심이 많고 경계심이 강해 작은 체구에도 불구하고 용감한 성격을 보입니다. 가족과의 유대감이 강하고, 낯선 사람에게는 경계심을 보일 수 있습니다. 지능이 높아 다양한 훈련이 가능하며, 짖는 소리가 큰 편입니다. 털이 많이 빠지므로 정기적인 빗질과 관리가 필요합니다. 건강한 편이지만, 슬개골탈구, 치아 질환, 저혈당 등에 주의해야 합니다. 귀여운 외모와 활발한 성격 덕분에 전 세계적으로 사랑받는 반려견입니다."
"22","Pug","퍼그","China","중국","Small","소형","12~15 years","12~15 년","6~8kg","The Pug is a small breed originating from China, characterized by its wrinkled face, short muzzle, round head, large eyes, and curled tail. They weigh about 6–8 kg and stand 25–30 cm tall, with a compact body. Pugs are cheerful and affectionate, enjoying the company of people, and they have a strong bond with their families. They are generally quiet but sociable, getting along well with strangers and other animals. Loved by the ancient Chinese royal family, they gained popularity in Europe around the 16th century as pets for nobility in the Netherlands and England. With short coats that are easy to maintain, their wrinkled faces require proper cleaning to prevent skin diseases. Pugs are prone to respiratory issues due to their short noses and need careful attention in hot weather. They can easily become overweight, so proper exercise and diet management are essential. Common health concerns include respiratory diseases, eye problems, and joint issues, necessitating regular health check-ups. Their gentle and playful personality makes them beloved pets worldwide, and they fit well into indoor living, making them suitable for apartments. Their unique appearance, friendly demeanor, and loyalty have made them loved by many over the years.","퍼그는 중국에서 유래한 소형 견종으로, 주름진 얼굴과 짧은 주둥이, 둥근 머리와 큰 눈, 꼬불꼬불 말린 꼬리가 특징입니다. 체중은 6~8kg, 키는 25~30cm 정도로 작고 단단한 체형을 가졌습니다. 퍼그는 명랑하고 애교가 많으며, 사람을 좋아하고 가족과의 유대감이 매우 강합니다. 짖는 소리가 적고, 낯선 사람이나 다른 동물과도 잘 어울리는 사교적인 성격을 지녔습니다. 고대 중국 황실에서 사랑받았으며, 16세기경 유럽에 전해져 네덜란드, 영국 등에서 귀족들의 반려견으로 인기를 끌었습니다. 짧은 털로 관리가 쉽지만, 주름진 얼굴은 청결하게 관리해야 피부 질환을 예방할 수 있습니다. 퍼그는 코가 짧아 호흡기 질환에 취약하고, 더위에 약하므로 여름철에는 각별한 주의가 필요합니다. 또한 비만에 쉽게 노출될 수 있으므로 적절한 운동과 식이 관리가 중요합니다. 건강 문제로는 호흡기 질환, 안구 질환, 관절 질환 등이 있으며, 정기적인 건강 검진이 필요합니다. 퍼그는 온순하고 유쾌한 성격 덕분에 전 세계적으로 사랑받는 반려견입니다. 아이들과도 잘 어울리며, 실내 생활에 적합해 아파트 등 좁은 공간에서도 키우기 좋습니다. 특유의 귀여운 외모와 친근한 성격, 충성심으로 오랜 시간 동안 많은 사람들에게 사랑받아온 견종입니다."
"23","Samoyed dog","사모예드견","Russia","러시아","Large","대형","12~14 years","12~14 년","16~30kg","The Samoyed is a large breed originating from Siberia, bred by the nomadic Samoyede people for sledding, home companionship, and companionship. Introduced to the West by Arctic explorers in the 19th century, they are known for their elegant appearance, bold character, and strength. They weigh between 15–30 kg and stand 48–58 cm tall, characterized by their pure white, fluffy double coat and the ""Samoyed smile."" Their undercoat is dense and soft, while the outer coat is long and stiff. They are gentle, friendly, and highly sociable, with very little aggression. While they excel as sled dogs, they have a weak hunting instinct. They are sensitive to heat, and their heavy shedding requires regular grooming. Considered one of the most expensive breeds globally, they are loved for their gentle nature and beautiful appearance.","사모예드견은 시베리아 원산의 대형견으로, 북부 시베리아의 유목민 사모예드족이 썰매용, 가정용, 반려용으로 길러온 견종입니다. 19세기 북극 탐험가들에 의해 서양에 소개되었으며, 우아한 외모와 대담한 성격, 강인한 힘으로 유명합니다. 몸무게는 15~30kg, 어깨높이 48~58cm이며, 순백색의 풍성한 이중모와 입꼬리가 올라간 ‘사모예드 미소’가 특징입니다. 속털은 조밀하고 부드러우며, 겉털은 길고 뻣뻣합니다. 순하고 친근하며, 사교성이 뛰어나 공격성이 거의 없습니다. 썰매견으로서의 힘과 지구력이 뛰어나지만, 사냥 본능은 약합니다. 더위에 약하고, 털 빠짐이 많아 관리가 필요합니다. 세계적으로 가장 비싼 견종 중 하나로 꼽히며, 온화한 성격과 아름다운 외모로 많은 사랑을 받고 있습니다."
"24","Shiba Inu","시바견","Japan","일본","Small","중형","12~15 years","12~15 년","8~11kg","The Shiba Inu is a small Spitz-type breed that originated in Japan, being the smallest and oldest of Japan’s six native breeds. Originally used for hunting birds and small animals in mountainous regions, their name means ""small dog of the brushwood."" They stand about 35–41 cm tall and weigh between 7–14 kg, featuring a balanced build, solid muscles, a fox-like face, erect triangular ears, and a curled tail. Their double coat comes in various colors, including red, black and tan, and white, with coarse outer fur and a soft undercoat. Shiba Inus are bold and independent, extremely loyal to their owners, and wary of strangers. Intelligent and trainable, they can be stubborn and headstrong, making early socialization and obedience training important. In Japan, traits like ""courage, kindness, and simplicity"" are considered virtues of the Shiba Inu. They are active and agile, requiring plenty of exercise; otherwise, they may exhibit anxiety and destructive behaviors, including the distinctive ""Shiba scream."" They are clean and suitable for both indoor and outdoor living. The Shiba Inu is historically significant, designated as a Japanese cultural asset, and overcame extinction in the early 20th century, becoming one of Japan’s most popular pets and loved worldwide. Generally healthy, they should be monitored for genetic disorders like hip dysplasia, allergies, and glaucoma. Shiba Inus have a deep bond with their families, being independent yet affectionate, making them cherished companions.","시바견은 일본에서 유래한 소형 스피츠형 견종으로, 일본의 여섯 토종견 중 가장 작고 오래된 품종입니다. 원래 산악지대에서 새나 토끼 등 작은 동물을 사냥하는 데 사용되었으며, 이름의 뜻은 ‘작은 잡목숲의 개’입니다. 체고는 35~41cm, 체중은 7~14kg 정도로, 균형 잡힌 체형과 단단한 근육, 여우를 닮은 얼굴, 쫑긋 선 삼각형 귀, 말려 올라간 꼬리가 특징입니다. 이중모로 된 털은 적색, 흑참깨, 흰색 등 다양한 색이 있으며, 겉털은 거칠고 속털은 부드럽습니다. 시바견은 대담하고 독립적이며, 주인에게 매우 충성스럽고 낯선 이에게는 경계심이 강합니다. 영리하고 훈련성이 높지만 고집이 세고 자기주장이 강해 어릴 때부터 사회화와 복종훈련이 중요합니다. 일본에서는 ‘용기, 선량함, 소박함’이 시바견의 미덕으로 꼽힙니다. 활동적이고 민첩해 충분한 운동이 필요하며, 지루하거나 운동이 부족하면 불안과 파괴적 행동, ‘시바 스크림’이라 불리는 특유의 울음소리를 낼 수 있습니다. 헛짖음이 적고, 청결한 성향이 있어 실내외 모두에서 키우기 좋습니다. 시바견은 일본 문화재로 지정될 만큼 역사적 가치가 높으며, 20세기 초 멸종 위기를 겪었으나 복원에 성공해 현재는 일본에서 가장 인기 있는 반려견이자 전 세계적으로도 사랑받는 견종입니다. 건강한 편이지만, 고관절 이형성증, 알레르기, 녹내장 등 유전 질환에 주의가 필요합니다. 시바견은 가족과의 유대감이 깊고, 독립적이면서도 애정이 많아 반려견으로서 큰 사랑을 받고 있습니다."
"25","Shih Tzu","시추","China","중국","Small","소형","10~16 years","10~16 년","4~7.2kg","The Shih Tzu is a small companion dog that originated in Tibet, with a name meaning ""little lion"" in Chinese. It is believed to have been developed from the crossing of Pekingese and Lhasa Apso breeds, with a history spanning thousands of years. They have a sturdy build, small muzzle, and large brown eyes, with their head shape described by Chinese as ""owl head"" and ""lion head,"" their mouth as ""frog mouth,"" and their lips as ""worm lips."" They stand under 26.7 cm tall and weigh about 4–7.5 kg. With a soft, long double coat, they require grooming every 2–3 days to prevent matting. Their coat colors are diverse, but white and gray stripes are common, with a notable underbite that is a breed standard. Shih Tzus are friendly and affectionate, having comfortably sat on the laps of various social classes since ancient times. They bond well with families and get along with other animals, making them suitable for small spaces like apartments. Recently, they have also participated in various dog sports beyond being mere lap dogs. They do well with children, but it’s important to teach kids how to handle small dogs gently. As a brachycephalic breed, they have a significantly shortened nose and muzzle, resulting in a round head, prominent eyes, and a noticeable underbite. Known for their lively and friendly character, they enjoy being around people. Their lifespan ranges from 10 to 16 years, which is relatively long.","시추는 티베트에서 기원한 소형 애완견으로, 이름은 중국어로 ""작은 사자""를 의미합니다. 페키니즈와 라사 압소의 교배로 탄생한 것으로 알려져 있으며, 수천 년의 역사를 가진 오래된 품종입니다. 튼튼한 체형에 작은 주둥이, 큰 갈색 눈이 특징이며, 중국인들은 그들의 머리 모양을 ""올빼미 머리""와 ""사자 머리""로, 입을 ""개구리 입""으로, 입술을 ""지렁이 입술""로 묘사했습니다. 키는 26.7cm 이하, 체중은 4~7.5kg 정도입니다. 부드럽고 긴 이중모를 가졌으며, 2~3일마다 빗질이 필요하고, 그렇지 않으면 쉽게 엉키고 매트가 될 수 있습니다. 털 색상은 다양하지만 흰색과 회색 줄무늬가 자주 보이며, 특히 아래턱이 위턱보다 나온 언더바이트가 품종 표준에서 요구되는 특징입니다. 시추는 친근하고 애정이 넘치는 성격으로, 고대부터 다양한 계층의 사람들의 무릎 위에서 편안하게 지냈습니다. 가족과 잘 어울리고 다른 동물과도 잘 지내며, 아파트 등 작은 공간에서의 생활에도 적응이 좋습니다. 최근에는 단순한 애완견을 넘어 복종 및 민첩성 대회 등 다양한 도그 스포츠에도 참여하고 있습니다. 아이들과도 잘 어울리지만, 작은 개를 부드럽게 다루는 방법을 아이들에게 가르쳐야 합니다. 시추는 단독주행형 개(브라키세팔릭) 품종으로, 코와 위턱이 크게 짧아진 특징이 있어 둥근 머리, 눈에 띄는 눈, 짧은 주둥이, 그리고 눈에 띄는 언더바이트가 특징입니다. 활기차고 친근한 성격으로 알려져 있으며, 사람들과 함께 있는 것을 좋아합니다. 수명은 10~16년으로 비교적 긴 편입니다."
